empresa;cnpj;caminho
A&O TI BRASIL SERVICOS DE INFORMACAO LTDA;49.671.439/0001-35;C:\NFSe\001360
ABN SERVICOS DE ARMAZENAGEM E TRANSPORTE EIRELI;24.108.454/0001-49;C:\NFSe\000905
AFETTO GASTRONOMIA  E TREINAMENTO EIRELI;32.050.291/0001-19;C:\NFSe\001163
AGUIA INSTALACOES ELETRICAS LTDA INICIO ;52.676.837/0001-59;C:\NFSe\001381
ALPHATEC SERVICOS EM TECNOLOGIA LTDA;13.048.245/0001-30;C:\NFSe\000736
ANDRADE RODRIGUES ADVOGADOS ASSOCIADOS;04.336.271/0001-73;C:\NFSe\001707
ANDREIA VARGAS APOIO & CONSULTORIA LTDA;52.914.919/0001-94;C:\NFSe\001386
AUTO SOCORRO PEDREIRA EIRELI;22.453.694/0001-55;C:\NFSe\000266
AVN RELINS SERVICOS DE INFORMACAO LTDA;45.613.869/0001-40;C:\NFSe\001320
BENVIR;23.103.870/0001-91;C:\NFSe\000368
Bontempo Consultoria em Tecnologia da InformaCAo Ltda;36.993.025/0001-80;C:\NFSe\001253
BOSTON SERVICOS ESPECIALIZADOS;46.297.759/0001-89;C:\NFSe\001376
BOSTON SERVICOS INTEGRADOS;14.864.535/0001-15;C:\NFSe\001377
BR INFINITE SERVICOS DE APOIO ADMINISTRA;13.213.480/0001-10;C:\NFSe\000739
BRA SERVICOS DE ENGENHARIA CURSOS E SEGURANCA DO TRABALHO LTDA;07.845.927/0001-71;C:\NFSe\000856
BRAENGENHARIA;11.260.290/0001-29;C:\NFSe\000855
BRASILIA RADIADORES PECAS E SERVICOS;27.390.037/0001-20;C:\NFSe\001030
Caleidoscopio Digital Producao Audiovisual LTDA;33.750.471/0001-76;C:\NFSe\001193
CAR COLLECTION TRANSPORTADORA DE VEICULOS LTDA ME;14.146.786/0001-64;C:\NFSe\000784
CARGO EXPRESS SERVICOS LOGISTICOS LTDA;26.297.734/0001-78;C:\NFSe\001233
CARLO ACUTIS CRECHE & ESCOLA;52.732.767/0001-09;C:\NFSe\001382
CB DE CARVALHO TRANSPORTES DE VEICULOS;12.661.093/0001-84;C:\NFSe\000713
CEDI IMAGINOLOGIA LTDA - ME;28.120.296/0001-01;C:\NFSe\001069
CEGONHA PARK ESTACIONAMENTO;04.899.915/0001-31;C:\NFSe\000248
CENTRO DE EST E PESQ POLITICA (CEPPHOR);07.465.676/0001-08;C:\NFSe\000159
CEV FIBRA COMERCIO E SERVICOS DE COMUNICACAO LTDA;12.239.348/0001-15;C:\NFSe\000705
CICLO TRANSPORTE E DISTRIBUICAO;29.653.395/0001-03;C:\NFSe\001118
CITY BUS VEICULOS & TRANSPORTES LTDA;26.556.224/0001-78;C:\NFSe\001009
CLINBRAS MEDICINA OCUPACIONAL;17.442.436/0001-33;C:\NFSe\000897
CLINBRAS SERVICOS DE ENGENHARIA E SEG. DO TRABALHO;28.065.166/0001-05;C:\NFSe\001065
CLINICA ART CORPORIS ;00.768.842/0001-98;C:\NFSe\000108
CLINICA OFTALMOLOGICA DUARTE DUTRA;37.149.218/0001-12;C:\NFSe\000148
CLINICA VETERINARIA MISTER CAO LTDA;07.612.585/0001-40;C:\NFSe\000484
CONTELB CONTABILIDADE;02.829.118/0001-52;C:\NFSe\000001
CONTELB SERVICOS;20.085.677/0001-87;C:\NFSe\000165
CW SERVICOS ADMINISTRATIVOS;39.372.908/0001-61;C:\NFSe\000614
DF MERLI PROVEDORES DE CONTEUDOS LTDA;44.017.018/0001-71;C:\NFSe\001303
EAGLEWHITE CONSULTORIA EMPRESARIAL & PROJETOS LTDA;33.964.571/0001-03;C:\NFSe\001194
ELITE CERTICACAO ;29.207.334/0001-12;C:\NFSe\001106
EMASI ENGENHARIA;08.117.737/0001-09;C:\NFSe\000441
ENDOSCOPIA CLINICA MEDICA;15.789.436/0001-89;C:\NFSe\000962
EXAUSTEC SISTEMAS DE VENTILACAO E AUTOMACAO INDUSTRIAL LTDA;02.473.168/0001-40;C:\NFSe\000433
EXPRESS SERVICOS DE ENTREGA RAPIDA LTDA EPP;14.999.077/0001-21;C:\NFSe\000839
FC - A EMPREENDIMENTOS E PARTICIPACOES;27.523.618/0001-92;C:\NFSe\001167
FERRARESI CAVALCANTE - SOCIEDADE INDIVIDUAL DE ADVOCACIA;31.030.095/0001-10;C:\NFSe\001166
Fioravanti;13.045.177/0001-56;C:\NFSe\000889
FORMULA INFORMATICA LTDA EPP;03.207.732/0001-45;C:\NFSe\000241
GABRIELLE NERY SOCIEDADE INDIVIDUAL DE ADVOCACIA;39.276.406/0001-37;C:\NFSe\001249
GASTROCLINICA;21.482.045/0001-10;C:\NFSe\000218
GATO DA SORTE LETERIAS;04.223.280/0001-58;C:\NFSe\000157
GP ESPORTE E DIVERSOES LTDA;26.680.476/0001-04;C:\NFSe\001096
GYLMARC ASSISTENCIA A VEICULOS AUTOMOTORES LTDA ME;40.772.074/0001-60;C:\NFSe\001266
GZ ARQUITETURA E INTERIORES LTDA;46.847.031/0001-83;C:\NFSe\001333
IMO - INSTITUTO MEDICO OFTALMOLOGICO LTDA;12.817.438/0001-46;C:\NFSe\000718
INSTITUTO  ASCENDE ;03.787.494/0001-94;C:\NFSe\000246
INSTITUTO REPENSADAMENTE PSICOLOGIA & PESQUISA;40.762.316/0001-35;C:\NFSe\001267
INTEGRAMENTE PSICOLOGIA INTEGRADA;50.900.377/0001-75;C:\NFSe\001368
INTELCIBER SERVICOS EM INFORMACOES;43.494.507/0001-51;C:\NFSe\001298
Interbusca Tecnologia;22.861.723/0001-18;C:\NFSe\001355
JB Estruturas e Eventos;48.950.114/0001-29;C:\NFSe\001348
JCM Corporate Service;52.780.789/0001-44;C:\NFSe\001383
JD SERVICOS DE RECUPERACAO DE PECAS PARA MOTORES LTDA;36.519.773/0001-26;C:\NFSe\001245
JF REFRIGERACAO LTDA;19.095.746/0001-54;C:\NFSe\000103
JJJ - ServiCos Medicos;38.030.646/0001-94;C:\NFSe\001248
JK AGENCIA DE VIAGENS;18.870.682/0001-59;C:\NFSe\000094
JM TORRES  ;01.018.845/0001-77;C:\NFSe\000394
JOAO CARLOS RODRIGUES DE ANDRADE ME;00.594.994/0001-11;C:\NFSe\000017
JOSE BISPO VILA NOVA;10.661.501/0001-72;C:\NFSe\000676
JP ASSISTENCIA PARA VEICULOS EIRELI;30.445.791/0001-24;C:\NFSe\001130
JRZ COMERCIO DE PRODUTOS AGROPECUARIOS LTDA;07.612.612/0001-84;C:\NFSe\000483
JUNCAO COMERCIO E DISTRIBUIDORA DE AUTOPECAS LTDA;42.378.544/0001-31;C:\NFSe\001343
JVS TRANSPORTE;08.666.755/0001-31;C:\NFSe\000054
JX BRASIL ;11.513.309/0001-00;C:\NFSe\000668
KAVOD PUBLICITY PROMOCIONAL AVANCADA LTDA;34.010.192/0001-39;C:\NFSe\001344
LAR TEC;04.259.736/0001-30;C:\NFSe\000426
LG TRANSPORTES E LOCACAO DE CAMINHOES LTDA EPP;22.712.636/0001-07;C:\NFSe\001352
LOTERIA SORTE EXTRA;05.294.496/0001-77;C:\NFSe\000277
LOTO SIA LOTERIAS LTDA - ME;04.843.956/0001-06;C:\NFSe\000156
MAPIMED GESTAO OCUPACIONAL LTDA;35.133.746/0001-58;C:\NFSe\001222
MASAMI FERRAGENS, MATERIAL ELETRICO;30.270.560/0001-27;C:\NFSe\001325
MERCANTE SEGUROS  ;01.765.464/0001-51;C:\NFSe\000820
MEU IMOVEL CONSULTORIA & INVESTIMENTOS IMOBILIARIOS EIRELI;35.002.663/0001-20;C:\NFSe\001216
LAS CONSULTORIA;25.358.820/0001-80;C:\NFSe\000980
MIDIA DISTRIBUIDORA ;00.598.854/0001-11;C:\NFSe\000215
Midia Express;40.594.727/0001-69;C:\NFSe\001280
MIRAGE TECNOLOGIA DA INFORMACAO;50.165.230/0001-89;C:\NFSe\001363
MR LOCACAO INFORMATICA AUDIOVISUAL LTDA;53.043.199/0001-00;C:\NFSe\001387
NOVACIA GESTAO;10.827.966/0001-50;C:\NFSe\000632
PALCO LOCACAO ;02.486.144/0001-25;C:\NFSe\000959
PALCO MAIS;19.869.019/0001-05;C:\NFSe\001187
PARCER CORRETORES DE SEGUROS PARCEIROS. ;10.201.686/0001-32;C:\NFSe\000842
PAULINOS EMPREENDIMENTOS IMOBILIARIOS SPE LTDA;48.063.296/0001-16;C:\NFSe\001357
PAX E SAUDE;00.633.511/0001-40;C:\NFSe\000292
PH1 CONSULTORIA E MARKETING LTDA;49.667.136/0001-49;C:\NFSe\001353
PHD CELULAR;05.267.002/0001-65;C:\NFSe\000365
Piraja Assistencia a Veiculos Automotores Ltda;47.076.466/0001-34;C:\NFSe\001342
POLI SERVICOS;36.664.791/0001-00;C:\NFSe\001250
POLIAME POLIASSIST ;02.674.547/0001-06;C:\NFSe\000602
PORTAL DO CORRETOR ;10.797.428/0001-60;C:\NFSe\000624
Porto Nuvem;39.982.945/0001-91;C:\NFSe\001268
PPN;05.673.799/0001-09;C:\NFSe\001217
PRISSMA INDUSTRIA DE ESQUADRIAS & VIDROS LTDA;17.184.962/0001-40;C:\NFSe\000225
PROJETO;39.308.717/0001-30;C:\NFSe\001052
PROTECLINE;03.073.519/0001-98;C:\NFSe\000197
RAQUEL CARVALHO - SOCIEDADE INDIVIDUAL DE ADVOCACIA;13.780.586/0001-04;C:\NFSe\001186
RDG Representacoes Comerciais;14.877.622/0001-07;C:\NFSe\001354
REFRIAR REFRIGERACAO;03.885.946/0001-70;C:\NFSe\001279
REGAZZI E VIANA;10.771.113/0001-44;C:\NFSe\000264
RESSOAR ACADEMIA DE MUSICA LTDA;36.262.765/0001-47;C:\NFSe\001244
RICARDO ESTACIONAMENTO ;13.230.791/0001-98;C:\NFSe\000741
SBS IMOVEIS GESTAO IMOBILIARIA LTDA;14.959.815/0001-07;C:\NFSe\000828
SEATTLE SERVICOS;53.289.038/0001-92;C:\NFSe\001389
SILVA E VARGAS CONSULTORIA LTDA;49.088.025/0001-88;C:\NFSe\001350
SOS MOVEL;72.642.655/0001-74;C:\NFSe\000835
STETIC VIP ESTETICA AVANCADA LTDA;44.775.739/0001-40;C:\NFSe\001316
SYNCLAB ADS E CONSULTING;45.736.794/0001-94;C:\NFSe\001324
TEC LAR;00.674.671/0001-38;C:\NFSe\000427
TERMOTEC INDUSTRIA;21.719.779/0001-70;C:\NFSe\001277
TGC SERVICOS EM TECNOLOGIA ;39.227.094/0001-71;C:\NFSe\001051
TMSTUDIOPET EMBELEZAMENTO DE ANIMAIS LTDA;39.417.730/0001-28;C:\NFSe\001292
TR MOVEIS PLANEJADOS LTDA;15.236.526/0001-42;C:\NFSe\000025
TVAS GESTAO EM APOIO ADMINISTRATIVO ;46.204.753/0001-10;C:\NFSe\001329
U-FLY AVIACAO CURSOS & APERFEICOAMENTO LTDA;39.264.400/0001-40;C:\NFSe\000644
UNAGI COMERCIO DE ARTIGOS ;28.109.406/0001-26;C:\NFSe\001067
UNIAO TRANSPORTADORA DE VEICULOS LTDA ME;12.269.183/0001-24;C:\NFSe\000794
UNIQUE GRAFICA;08.839.695/0001-01;C:\NFSe\000482
VEC Security;06.283.200/0001-85;C:\NFSe\001378
VEC TELECOM;72.625.940/0001-87;C:\NFSe\000499
VERITAS MEDICINA ESPECIALIZADA LTDA;46.072.119/0001-70;C:\NFSe\001328
VILA KOINONIA SERVICOS DE CUIDADOS COM A CRIANCA EIRELI;35.491.285/0001-95;C:\NFSe\001228
Virtus Saude Mental;45.433.685/0001-06;C:\NFSe\001318
WO CYBER TECNOLOGIA DA INFORMACAO LTDA;49.825.313/0001-78;C:\NFSe\001361
WR - ASSISTENCIA TECNICA EM VEICULOS AUTOMOTORES;30.755.399/0001-81;C:\NFSe\001170
XTYON CONSULTORIA E TREINAMENTO;50.714.063/0001-88;C:\NFSe\001365
ARM CEREAIS;46.464.737/0001-66;C:\NFSe\001335
BRAGA ENTREGAS RAPIDAS LTDA;46.723.286/0001-34;C:\NFSe\001331
JBR SOLUCOES;18.770.657/0001-01;C:\NFSe\001185
Santa Permuta;48.516.935/0001-51;C:\NFSe\001364
Eldex Distribuidora de Jornais;10.719.671/0001-60;C:\NFSe\001060
ORW Locacoes;10.417.010/0001-80;C:\NFSe\000836
Cenotech;10.159.386/0001-32;C:\NFSe\000904
Julitas;00.609.701/0001-22;C:\NFSe\000003
Every Ti;08.925.028/0001-41;C:\NFSe\000119
Portas Automaticas;03.268.016/0001-78;C:\NFSe\000080
HO Sobradinho;29.725.323/0001-24;C:\NFSe\000390
last;00.000.000/0001-88;C:\NFSe\000000
